FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
767,Polygon,12848,46169091.45,75894.1613,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,118998.8653,113555425.7,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
768,Polygon,12851,1856436.691,5150.161242,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,8095.490087,4585604.514,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
769,Polygon,12853,903810.3457,3976.654779,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,6245.805506,2232444.177,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
770,Polygon,12855,621863664.1,230465.2941,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,360488.2427,1524301566,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
771,Polygon,12859,7710820.594,12921.84912,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,20299.22191,19022193.63,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
772,Polygon,12861,3414231.698,8633.981009,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",13566.59117,8431662.011,Pleistocene,Pleistocene,Pleistocene
773,Polygon,12863,18648125.23,31917.29634,792,t/+B,TertiÑr,t,vulkanogen,vu,"basaltische, alkalibasaltische und foidbasaltische Tuffe und Schlacken","+VT,VS;+B,+B(""a"",""f"")",in Nordbîhmen auch trachytische Tuffe,50117.53792,45975843.35,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
774,Polygon,12866,5455859.662,9277.001459,670,cd,"Karbon, Unterkarbon",cd,marin,m,"Grauwacke, Tonschiefer, Plattenkalk, Kieselkalk, Kieselschiefer, Alaunschiefer","^g,^tsf,^kpl,^ik,^ti,^tal",Kulmfazies,14571.55288,13460860.57,"Carboniferous, Lower",Carboniferous,Carboniferous
775,Polygon,12869,447877283.8,243357.5651,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,380872.4134,1096805371,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
776,Polygon,12871,765529.7431,3857.829912,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,6058.52839,1890449.296,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
777,Polygon,12879,1520260.537,4879.345825,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",7664.358733,3750255.349,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
778,Polygon,12880,1916992.374,5542.763886,827,/+Kt,Devon,d,vulkanogen,vu,"Trachyt, Keratophyr","+Tr,+K", ,8706.950648,4728864.86,Devonian (igneous),"Devonian, Upper","Devonian, Upper"
779,Polygon,12885,5730493.648,11305.07151,694,dz/^q,"Devon, Unterdevon, oberes Ems",dz(o),marine Ablagerungen,m,Quarzit,^q,Emsquarzit,17752.81635,14134849.34,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
780,Polygon,12889,764427.7459,3364.860029,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,5287.967878,1887406.32,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
781,Polygon,12890,2702306.097,7648.444325,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,12013.53592,6663320.043,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
782,Polygon,12891,1775413.454,5110.563429,824,/+Sp,PrÑkambrium bis Karbon,pr-cd,vulkanogen,vu,"Spilit, Basalt, Diabas","+SP,+B,+D",Spiligruppe: Kambrium bis Dinant,8025.861734,4378421.369,Precambrian,Precambrian,Paleozoic igneous rocks
783,Polygon,12892,20935965.26,33714.72474,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,52942.70877,51606849.46,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
784,Polygon,12893,907598.1496,4145.697164,684,dm,"Devon, Mitteldevon",dm,marine Ablagerungen,m,"Tonschiefer, Sandstein, Quarzit","^tsf,^s,^q", ,6513.487931,2239642.834,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
785,Polygon,12895,38389340.96,83934.86131,24,//f,HolozÑn,qh,fluviatil,f,"Sand, Kies, Schotter","S,G,fX",z.T. unter Aulehmdecke [in den Alpen mit pleistozÑnen Terassen und Hangablagerungen,131682.9728,94407911.19,Holocene,Holocene,Holocene
786,Polygon,12896,2037244.054,5941.078463,824,/+Sp,PrÑkambrium bis Karbon,pr-cd,vulkanogen,vu,"Spilit, Basalt, Diabas","+SP,+B,+D",Spiligruppe: Kambrium bis Dinant,9330.346673,5023761.955,Precambrian,Precambrian,Paleozoic igneous rocks
787,Polygon,12898,3170110.625,7703.933004,683,/^k,"Devon, Oberdevon und Mitteldevon","do,dm",marine Ablagerungen,m,"Kalkstein, Massenkalkstein","^k,^kma", ,12101.51273,7817641.231,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
788,Polygon,12901,124802587.3,98826.95896,684,dm,"Devon, Mitteldevon",dm,marine Ablagerungen,m,"Tonschiefer, Sandstein, Quarzit","^tsf,^s,^q", ,154862.9147,306725862.8,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
789,Polygon,12905,53030616.04,92392.52135,694,dz/^q,"Devon, Unterdevon, oberes Ems",dz(o),marine Ablagerungen,m,Quarzit,^q,Emsquarzit,144713.4759,130164114.5,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
790,Polygon,12909,22974430.13,28406.03811,502,tpl,"TertiÑr, PliozÑn",tpl,limnisch - fluviatile Ablagerungen,"l,f","vorw. Kies, Sand, Ton; untergeordnet Braunkohle","G,S,T;^brk", ,44599.07224,56593382.59,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
791,Polygon,12910,6466112.516,11864.30114,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",18639.26377,15949896.29,Pleistocene,Pleistocene,Pleistocene
792,Polygon,12911,5592678.64,10778.49685,694,dz/^q,"Devon, Unterdevon, oberes Ems",dz(o),marine Ablagerungen,m,Quarzit,^q,Emsquarzit,16927.1375,13790168.48,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
793,Polygon,12914,51578407.97,49058.68481,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",76963.4473,126839088.4,Pleistocene,Pleistocene,Pleistocene
794,Polygon,12922,802188.4517,4650.326297,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,7311.939573,1979382.731,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
795,Polygon,12924,596529.3168,2990.184011,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4697.95091,1472033.694,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
796,Polygon,12926,3129268.087,7628.46182,684,dm,"Devon, Mitteldevon",dm,marine Ablagerungen,m,"Tonschiefer, Sandstein, Quarzit","^tsf,^s,^q", ,11979.43953,7710634.652,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
797,Polygon,12927,1121925.952,5369.724133,591,k,"Trias, Keuper",k, , ,"Tonstein, Sandstein, Quarzit, Dolomit","^t,^s,^q,^d", ,8442.472746,2767797.387,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
798,Polygon,12930,1463846.422,5110.371003,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,8021.605955,3612258.836,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
799,Polygon,12931,64331716.29,157133.5904,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,246427.9658,158170904,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
800,Polygon,12937,10372909.17,19363.59572,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",30397.82726,25558975.13,Pleistocene,Pleistocene,Pleistocene
801,Polygon,12948,3967006.166,7680.889761,629,tr(o),"Trias, Obere Trias ungegliedert",tr(o),"marin, z.T. metamorph","m,zt(mt)","Dolomitstein, Kalkstein, Tonschiefer, Sandstein","^d,^k,^tsf,^s","Unterostalpin, RadstÑdter Tauern (auch in der Penninisch-RadstÑdter Mischungszone)",12056.13065,9774969.463,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
802,Polygon,12954,586179.3407,2839.024789,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4460.547994,1446045.532,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
803,Polygon,12959,1534338.603,4894.195812,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",7687.785321,3780863.813,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
804,Polygon,12961,1862074.067,8846.319576,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,13886.37719,4591377.125,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
805,Polygon,12965,1460635.172,5052.116395,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",7926.521625,3600669.206,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
806,Polygon,12968,8980281.472,17649.95464,824,/+Sp,PrÑkambrium bis Karbon,pr-cd,vulkanogen,vu,"Spilit, Basalt, Diabas","+SP,+B,+D",Spiligruppe: Kambrium bis Dinant,27695.24723,22117375.75,Precambrian,Precambrian,Paleozoic igneous rocks
807,Polygon,12974,1532203.773,4901.396926,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,7697.461766,3778429.519,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
808,Polygon,12977,1628604.898,6362.877482,684,dm,"Devon, Mitteldevon",dm,marine Ablagerungen,m,"Tonschiefer, Sandstein, Quarzit","^tsf,^s,^q", ,9992.007903,4013230.298,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
809,Polygon,12980,8158733.689,14487.71543,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,22728.49716,20087259.13,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
810,Polygon,12982,12405470.1,24650.36733,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,38688.49558,30538024.54,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
811,Polygon,12986,17757618.02,23280.08369,694,dz/^q,"Devon, Unterdevon, oberes Ems",dz(o),marine Ablagerungen,m,Quarzit,^q,Emsquarzit,36515.90223,43704869.03,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
812,Polygon,12993,2253743.056,6272.048845,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,9843.840927,5556562.079,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
813,Polygon,12996,6836124.233,13422.83941,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,21080.38341,16833390.34,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
814,Polygon,13001,1679716.193,5641.106454,610,so,"Trias, Oberer Buntsandstein",so,limnisch - fluviatile bis marin - brackische Ablagerungen,"l-f,m-br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,8859.253229,4140420.701,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
815,Polygon,13005,1790683.963,5629.737843,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",8844.334944,4413174.801,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
816,Polygon,13007,889536.8412,4312.959784,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,6771.769927,2192699.884,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
817,Polygon,13008,492438.6134,2634.958326,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4136.42615,1213949.217,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
818,Polygon,13012,3380964.139,8307.442393,683,/^k,"Devon, Oberdevon und Mitteldevon","do,dm",marine Ablagerungen,m,"Kalkstein, Massenkalkstein","^k,^kma", ,13030.84787,8324531.51,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
819,Polygon,13013,1894550.399,5814.681935,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",9133.536664,4668891.071,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
820,Polygon,13015,2315434.157,6400.434931,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,10040.83967,5700026.49,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
821,Polygon,13019,824362.8298,3408.469978,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,5348.568191,2030716.303,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
822,Polygon,13020,5143204.711,11349.80733,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,17807.03765,12671752.6,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
823,Polygon,13031,1189691.275,4201.539112,798,t/+Tr,TertiÑr,t,vulkanogen,vu,"Trachyt, Alkalitrachyt, Latit","+Tr,""a""-+Tr,+Lt", ,6593.6296,2930635.058,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
824,Polygon,13035,1162837.032,5212.83972,591,k,"Trias, Keuper",k, , ,"Tonstein, Sandstein, Quarzit, Dolomit","^t,^s,^q,^d", ,8185.536225,2864560.224,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
825,Polygon,13039,13294844.67,18348.51761,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",28773.26663,32697907.13,Pleistocene,Pleistocene,Pleistocene
826,Polygon,13043,4014872.35,11793.8294,681,do,"Devon, Oberdevon",do,marine Ablagerungen,m,"Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein","^tsf,^s,^g,^q,^k",vgl.671,18498.74275,9882890.948,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
827,Polygon,13044,18756705.44,22382.22621,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",35089.79278,46124080.2,Pleistocene,Pleistocene,Pleistocene
828,Polygon,13046,672777.2313,3321.449829,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,5212.216423,1657307.955,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
829,Polygon,13049,46600001.5,62916.80159,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",98657.63203,114601912.1,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
830,Polygon,13051,8387357.799,16868.07198,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",26469.51851,20649413.13,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
831,Polygon,13052,1649089.244,5786.433326,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",9074.10578,4062041.106,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
832,Polygon,13056,6069206.908,14662.35141,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,22998.67808,14940148.99,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
833,Polygon,13058,5622180.089,9331.723282,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,14642.07592,13832945.37,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
834,Polygon,13059,1421948.347,5069.183888,681,do,"Devon, Oberdevon",do,marine Ablagerungen,m,"Tonschiefer, Sandstein, Grauwacke, Quarzit, Kalkstein","^tsf,^s,^g,^q,^k",vgl.671,7952.19887,3499588.278,"Devonian, Upper","Devonian, Upper","Devonian, Upper"
835,Polygon,13061,4243814.667,9802.003252,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,15376.99725,10448244.87,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
836,Polygon,13068,688073.3655,3552.49464,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,5573.030899,1694407.248,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
837,Polygon,13072,1118280.19,4805.771443,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",7536.690461,2752233.636,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
838,Polygon,13076,3939201.824,15720.85055,504,tpl,"TertiÑr, Ñlteres PliozÑn",tpl(a),fluviatile Ablagerungen,f,"Kies, Sand; gelegentlich Mergel","fX,S;M","Vogesenschotter, Hipparionsande, Monheimer Hîhensande, Urbrenzsande",24642.6015,9691443.723,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
839,Polygon,13077,1388148.859,4749.108853,506,tmi,"TertiÑr, MiozÑn, ungegliedert",tmi, , ,"Ton, Schluff, Sand, Kies, Braunkohle; Mergel, Kalk (Ries)", , ,7454.36114,3415800.719,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
840,Polygon,13097,435577.1845,2475.950895,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3885.328352,1072184.262,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
841,Polygon,13100,3397234.083,7985.109528,698,dsTA,"Devon, Unterdevon, mittleres bis oberes Siegen",dsTA,marine Ablagerungen,m,"Quarzit, Sandstein, Tonschiefer, Glimmersandstein, quarzitische Grauwacke","^fe;^q,^s,^tsf,*Gls,^g(q)",Taunisquarzit,12519.99724,8350879.534,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
842,Polygon,13110,1380100.674,5181.962622,689,de,"Devon, Mitteldevon, Eifel",dm,marine Ablagerungen,m,"Tonschiefer, Quarzit, Grauwackensandstein","^fe;^tsf,^q,^s(^g)", ,8123.875129,3394574.03,"Devonian, Middle","Devonian, Middle","Devonian, Middle"
843,Polygon,13112,3808014.892,10851.38526,692,dz,"Devon, Unterdevon, Ems",dz,marine Ablagerungen,m, , , ,17016.08155,9357099.151,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
844,Polygon,13117,219174088.4,214773.2489,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",335753.0636,535048253,Pleistocene,Pleistocene,Pleistocene
845,Polygon,13118,63414.54282,1054.469379,999, , , , , , , , ,1654.376427,155971.7256,nd,Tertiary (fluviatile),Tertiary (fluviatile)
846,Polygon,13120,84748984.71,63141.84894,698,dsTA,"Devon, Unterdevon, mittleres bis oberes Siegen",dsTA,marine Ablagerungen,m,"Quarzit, Sandstein, Tonschiefer, Glimmersandstein, quarzitische Grauwacke","^fe;^q,^s,^tsf,*Gls,^g(q)",Taunisquarzit,98822.84401,207637917.6,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
847,Polygon,13133,7496545.531,18277.304,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,28658.17767,18425657.16,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
848,Polygon,13136,72092595.67,94871.18403,615,su,"Trias, Unterer Buntsandstein",su,limnisch - fluviatile bis brackische Ablagerungen, ,"feinkîrniger Sandstein, Tonstein, Konglomerat","^s(kgf),^t,^c", ,148504.0254,176581535.1,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
849,Polygon,13141,26148927.36,48078.15266,698,dsTA,"Devon, Unterdevon, mittleres bis oberes Siegen",dsTA,marine Ablagerungen,m,"Quarzit, Sandstein, Tonschiefer, Glimmersandstein, quarzitische Grauwacke","^fe;^q,^s,^tsf,*Gls,^g(q)",Taunisquarzit,75240.2588,64094787.89,"Devonian, Lower","Devonian, Lower","Devonian, Lower"
